Country,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rate,Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Algeria,67th,8.0,7.7,8.2,6.4,6.0,5.1,7.8,5.8,7.1,5.7,6.4,5.4,0.743,0.743,7.48,2.12,4.47,2.2,0.658,0.9,5.19,Warning
India,69th,7.9,7.3,8.3,5.6,7.5,5.5,5.2,7.5,5.9,8.0,5.4,5.3,0.916,0.916,8.4,1.18,5.5925,0.53,0.822,5.805,0.16,Warning
Equatorial Guinea,54th,7.0,8.2,6.3,5.2,9.0,6.0,9.8,7.1,9.7,7.7,3.3,5.5,0.688,0.688,7.11,1.66,5.345,2.1,0.597,0.235,0.14,Warning
Russia,65th,9.1,8.1,9.3,4.4,6.4,4.5,7.9,4.7,8.9,5.1,5.7,5.9,0.737,0.737,7.29,0.54,6.688,4.57,0.671,1.9,0,Warning
Malawi,44th,4.8,7.7,5.4,8.6,8.4,8.1,6.9,7.8,6.2,8.8,6.1,8.1,0.719,0.719,6.09,1.32,4.548,1.19,0.616,0.81,0,Warning
China,83rd,5.9,7.2,8.3,3.4,7.4,4.6,8.0,6.2,9.2,7.4,5.6,3.2,0.845,0.845,8.17,1.82,4.76,0.72,0.784,8.47,0,Warning
Senegal,60th,6.2,6.6,6.3,7.3,7.3,7.4,5.5,7.9,6.2,8.0,7.8,6.5,0.798,0.798,7.82,1.18,5.023,0.3,0.764,2.89,0,Warning
Turkey,89th,7.7,7.3,9.0,5.0,6.2,3.7,6.3,4.9,6.4,5.5,7.5,5.0,0.625,0.625,8.3,1.98,8.2365,4.58,0.658,2,1.02,Warning
Mexico,99th,8.0,5.1,6.4,4.6,6.6,5.8,5.9,6.8,6.5,6.2,4.4,5.5,0.701,0.701,7.47,0.98,6.428,7.59,0.561,5.785,0.47,Warning
Bhutan,74th,5.0,7.5,7.9,5.7,6.9,6.8,5.0,6.6,6.5,6.0,6.9,7.9,0.481,0.481,5.96,0.64,3.688,6.57,0.408,2.365,2.59,Warning
Morocco,89th,5.7,6.6,7.1,5.3,6.3,7.6,6.5,5.7,7.0,5.5,5.3,6.0,0.758,0.758,7.44,4.46,6.218,1.19,0.649,2.895,2.37,Warning
Ukraine,84th,7.9,8.0,7.0,6.5,4.7,5.5,8.5,3.8,6.4,4.5,4.4,9.1,0.746,0.746,6.5,1.86,7.91,1.17,0.673,4.32,0.95,Warning
Dominican Republic,104th,5.2,6.2,5.8,5.3,6.3,7.6,6.0,6.8,5.5,6.8,3.8,5.9,0.47,0.47,6.2,0.76,5.886,5.58,0.31,2.52,7.29,Warning
Paraguay,103rd,6.5,7.8,5.9,5.1,8.4,5.2,7.1,6.7,6.1,5.9,2.2,4.4,0.795,0.795,8.16,0.66,6.331,7.15,0.648,2.55,1.54,Warning
Suriname,109th,5.4,5.8,5.8,6.8,6.6,7.3,5.5,5.8,4.9,5.3,3.0,6.2,0.888,0.888,7.63,1.6,7.5395,9.02,0.886,3.02,0,Warning
Guyana,107th,5.8,5.1,6.5,6.2,6.2,9.1,5.9,6.1,3.9,5.6,3.6,6.5,0.414,0.414,5.88,0.78,7.196,6.28,0.33,3.04,4.66,Warning
Belarus,87th,6.6,8.3,6.8,6.1,5.2,3.4,8.6,4.7,8.4,5.6,4.1,7.8,0.794,0.794,7.56,1.7,4.9805,1.23,0.773,2.14,3.76,Warning
Nicaragua,72nd,5.6,6.8,6.5,6.2,7.9,8.1,7.3,7.2,5.3,6.2,4.6,7.3,0.552,0.552,5.51,0.54,6.764,5.85,0.41,0,0,Warning
Fiji,82nd,6.7,7.9,7.0,6.7,6.8,7.6,7.4,4.5,6.9,4.7,3.4,7.2,0.863,0.863,7.68,1.74,3.19,0.25,0.876,5.655,1.26,Warning
Tunisia,86th,7.8,8.1,7.8,6.6,5.4,5.5,7.0,4.9,7.0,4.7,4.1,6.9,0.553,0.553,8.22,3.06,8.2215,1.95,0.436,-0.055,0.23,Warning
Ghana,100th,4.1,4.9,4.6,6.3,7.1,7.6,5.0,7.9,5.2,7.1,5.5,6.6,0.768,0.768,7.49,5.3,4.7265,1.13,0.794,1.91,3.71,Warning
Guatemala,64th,7.0,6.0,7.9,6.0,8.0,6.7,6.6,7.4,6.6,7.3,5.5,5.4,0.865,0.865,8.09,1.52,3.399,0.37,0.83,2.09,0.01,Warning
Saudi Arabia,101st,6.4,8.0,7.4,4.4,5.8,3.7,7.8,3.7,9.2,5.8,4.6,4.8,0.855,0.855,8.09,2.78,7.4605,0.45,0.698,5.41,0.23,Warning
Azerbaijan,80th,6.7,7.9,6.4,4.1,5.9,4.3,8.6,5.4,8.4,5.1,7.6,6.9,0.892,0.892,8.14,3.02,4.1715,0.3,0.82,1.69,1.12,Warning
Benin,73rd,6.2,6.1,3.9,6.6,7.5,6.8,6.2,8.6,5.6,8.2,6.0,7.1,0.706,0.706,7,0.52,3.4575,1.46,0.704,1.02,3.97,Warning
Indonesia,88th,6.2,7.0,7.3,5.2,6.3,6.3,5.6,6.0,6.8,7.1,5.9,5.3,0.834,0.834,7.52,2.12,6.7015,0.16,0.835,3.79,0.54,Warning
Turkmenistan,78th,6.8,7.8,7.1,5.0,6.9,5.1,9.7,6.1,8.8,5.7,3.9,4.6,0.519,0.519,6.96,2.02,7.989,0.24,0.42,1.475,0.58,Warning
Serbia,92nd,6.0,8.0,8.1,6.7,5.3,5.3,5.7,4.7,4.9,5.5,7.0,6.6,0.805,0.805,7.47,1.94,7.744,0.7,0.816,3.87,0.07,Warning
Lesotho,66th,5.6,7.3,4.4,8.3,7.3,7.4,6.4,8.0,4.8,7.7,4.9,7.8,0.799,0.799,8.19,1.34,2.855,0.77,0.611,2.7,0,Warning
Sao Tome and Principe,93rd,5.5,6.3,4.5,8.4,6.5,7.9,6.1,5.8,3.8,6.7,4.3,7.9,0.841,0.841,7.74,1.32,5.796,2.28,0.756,4,0,Warning
Ecuador,85th,6.7,8.2,7.8,5.3,6.8,6.2,7.0,6.3,5.1,5.7,5.2,5.6,0.724,0.724,7.78,2.6,4.899,1.95,0.615,1.585,0,Warning
Armenia,108th,5.3,7.0,5.4,6.0,5.0,6.0,7.0,4.1,6.5,3.6,7.0,6.8,0.826,0.826,7.63,1.22,3.9975,1.15,0.807,2.555,7.31,Warning
Vietnam,97th,5.1,6.9,6.5,5.8,5.5,5.6,8.1,5.2,7.8,6.1,4.7,5.1,0.688,0.688,7.48,1.4,8.3065,1.47,0.629,1.78,0.19,Warning
South Africa,113th,5.3,5.6,5.5,6.3,7.4,4.9,5.3,6.4,4.3,7.0,5.9,3.1,0.491,0.491,7.43,4.98,7.942,0.27,0.355,3.285,2.55,Warning
Kazakhstan,110th,5.7,7.6,7.0,6.5,4.7,3.6,8.0,4.5,7.5,5.0,3.5,4.7,0.729,0.729,7.57,1.84,6.435,0.21,0.677,5.31,2.95,Warning
Bahrain,119th,6.7,7.1,7.7,3.2,5.1,3.5,8.4,2.3,7.8,4.6,2.6,5.3,0.79,0.79,7.54,0.88,4.868,1.02,0.713,3.755,10,Warning
Jamaica,117th,6.3,3.7,3.9,7.1,5.9,7.8,5.3,5.8,4.9,5.2,3.0,5.7,0.92,0.92,8.09,0.7,6.401,0.33,0.91,8.66,1.76,Warning
Grenada,120th,5.6,5.6,3.8,5.9,5.3,8.4,5.9,3.7,3.7,5.2,3.2,7.1,0.575,0.575,6.14,0.34,6.8485,4.42,0.546,3.42,6.76,Warning
