Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Prison Population,"Infant mortality rate (per 1,000 live births)",Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Poland,2016,152nd,2,3.8,4.9,3.8,3.2,4.2,3.5,2.5,2.9,3,3.8,3.1,6.84,7.29,2.42,6.585,6.84,6.58,6.55,2.96,4.755,Warning
Chile,2016,150th,2.9,2.2,3.8,3.3,5.4,3.5,3.5,4.2,3.2,5.4,2.2,2.3,3.96,5.19,0.92,6.691,3.96,8.5,2.8,6.18,9.213,Stable
United Arab Emirates,2016,145th,2.8,3.6,3.6,2.6,3.9,2.2,6.9,2.4,7.5,4.2,2.2,2.6,6.06,7.46,0.74,6.954,6.06,0.35,4.94,4.64,7.279,Stable
Lithuania,2016,149th,3.1,3,4.6,4.7,4.7,4.1,2.9,3.7,2.7,3,2.4,3.5,8.3,6.66,4.12,8.16,8.3,0.69,8.35,1.81,0.115,Stable
Costa Rica,2016,142nd,3.3,3.8,4.4,4.2,5.5,3.8,2.6,4.1,1.7,3.8,3.6,4.3,4.35,5.91,3.22,7.984,4.35,7.45,4.75,3.495,1.674,Stable
Uruguay,2016,155th,3.5,2.7,2.7,3.3,4.3,4.1,1.1,3.1,2.5,4,2.2,2.7,7.8,6.02,1.46,6.768,7.8,3.39,7.17,5.005,5.98,Stable
Japan,2016,157th,1.3,2.6,3.9,4.3,1.8,2.9,1.4,1.8,3.2,4.5,3.4,4,8.99,8.26,2.56,8.426,8.99,0.29,8.7,2.52,3.442,Stable
South Korea,2016,156th,1.8,3.8,3.1,2.1,3.2,3.6,3.4,2.1,2.9,3.3,1.7,5.1,7.76,6.69,4.48,4.182,7.76,3.46,7.6,3.565,4.386,Stable
Slovak Republic,2016,144th,2,4.2,6.5,4.8,3.7,3.9,4.5,2.6,2.7,2.5,4,3.5,7.22,7.52,2.26,5.71,7.22,0.84,6.57,2.775,0,Stable
Mauritius,2016,147th,2.5,3.2,3.8,4.2,4,4.1,3.2,3.5,3.6,3.8,2.4,4.9,7.89,6.39,1.58,7.89,7.89,0.74,7,0,2.207,Stable
France,2016,158th,3,1.9,7,4.5,3.4,1.9,1.5,1.3,2.3,3,2.7,2,7.36,7.02,4.1,7.085,7.36,1.91,7.77,7.42,0,Stable
Spain,2016,153rd,3,6.3,5.9,5.2,3.7,2.1,3,2.4,2,2.2,2,2,4.2,7.33,2.72,6.419,4.2,4.17,3.74,9.005,2.928,Stable
Italy,2016,148th,4.2,4.9,5,5.5,3.1,1.7,3.9,2.3,2.2,2.8,5,2.5,6.49,6.96,2.74,8.921,6.49,0.3,5,4.16,0.091,Stable
Panama,2016,133rd,5.4,2.5,5.3,3.1,7.6,4.3,3.7,5.3,4.5,5.4,3.2,2.9,5.27,6.19,0.62,6.328,5.27,1.88,4.77,0.56,0,Stable
Latvia,2016,141st,3.2,4.3,7.7,3.7,4.3,4.5,3.6,3.1,2.8,3.1,3,4.1,5.88,6.62,0.32,8.863,5.88,1.97,5.9,0.95,0.267,Stable
Austria,2016,167th,1.2,2.7,4,1.9,3.1,1.2,1.1,1.3,1.4,2.1,6.1,1.4,9.39,8.25,0.94,5.956,9.39,0.3,9.39,6.305,6.487,Stable
Estonia,2016,146th,2.9,5.5,6.8,3.7,3.4,3.7,2.9,3.1,1.8,3,2.6,4,5.92,5.79,1.1,6.441,5.92,6.82,4.39,3.825,0.019,Stable
Barbados,2016,139th,4.4,4.2,4.1,6,4.8,5.1,2.7,2.7,2.6,4.1,2.6,5.7,5.79,7.2,1.22,5.54,5.79,3.07,4.57,0,1.187,Stable
United States,2016,159th,2.9,4.3,5.1,2.5,4.5,1.4,2.1,1.8,3.4,3,2.1,0.9,7.21,6.85,1.06,7.728,7.21,0.87,7.66,4.28,3.697,Stable
Slovenia,2016,160th,1.8,1.7,4.2,4,3.6,2.8,2.9,1.7,1.7,2.5,4.5,2.5,7.04,7.3,1.86,7.359,7.04,1.27,7.02,1.685,3.985,Stable
Singapore,2016,161st,1.7,4,2.8,2.2,4,3,3.9,1.5,4.3,2.7,1.4,1.4,7.35,7.4,0.66,7.423,7.35,3.11,6.77,1.8,3.579,Stable
Malta,2016,154th,3.3,2,3.9,4.2,2.8,3.9,3.8,2.2,3.2,2.7,4.1,3.5,5.12,8.19,1.08,6.328,5.12,4.34,4.92,1.095,1.516,Stable
Portugal,2016,163rd,1.5,2.5,2.7,5,2.7,1.9,1.8,2.4,2,2.3,1.9,2.5,7.88,7.31,0.04,6.632,7.88,1.42,6.91,3.68,4.222,Stable
Belgium,2016,164th,1.9,3.9,4.4,4.4,2.9,1.6,1.6,1.8,1,2.2,2.1,1.2,7.96,7.15,2.36,4.328,7.96,0.34,8.34,7.415,0,Stable
Sweden,2016,171st,1.8,1.8,1.7,2,1.5,1.2,1,1.3,1.3,2.2,5.5,1.3,6.66,6.81,2.46,8.352,6.66,0.58,7.05,2.67,6.207,Stable
Netherlands,2016,166th,1.7,3.1,4.4,2.9,2.4,2.3,1.5,1.2,1.1,2.7,4,0.9,6.47,7.64,1.18,7.532,6.47,0.43,5.03,3.76,2.581,Stable
Australia,2016,172nd,1.8,1.7,4.1,1.8,2.4,1,1,1.7,2.5,1.5,2,1,7.43,7.49,1.14,4.205,7.43,1.26,7.3,8.86,0.823,Stable
Iceland,2016,170th,1.2,1.8,1.3,3.5,1.3,2.5,1,1.4,1,1.8,1.7,4.3,6.25,7.33,0.7,8.738,6.25,1.74,5.18,2.97,6,Stable
Germany,2016,165th,1.8,2.3,4.8,2.4,3,1.8,1,1.3,1.3,2.2,5.7,1,4.52,6.05,1.26,7.8,4.52,4.79,3.58,6.755,0,Stable
Denmark,2016,175th,1.4,1.4,4.6,2.2,1.8,1.6,0.6,1.1,1.7,2.2,1.8,1.1,4.74,5.19,10.78,8.698,4.74,6.66,4.15,0,0.115,Stable
Norway,2016,177th,2.2,1.1,3.8,1.7,1.7,1.3,0.5,1.1,1.6,1.7,3,1.5,9.15,8.17,1.08,5.209,9.15,2.94,9.17,0,0,Stable
Luxembourg,2016,168th,1.9,3.4,3.1,1.2,1.7,1.8,1,2.3,1,1.7,3.7,1.3,7.63,7.43,1.9,8.378,7.63,0.71,6.56,0.135,1.381,Stable
New Zealand,2016,176th,1.4,1.1,3.8,3.8,2.5,1.8,0.6,1.6,0.7,1.6,1.5,0.9,4.18,7.43,1.2,6.658,4.18,2.37,3.69,10.945,0.577,Stable
Ireland,2016,172nd,1.8,1.5,1.6,3.6,2.4,2.5,1.2,1.6,1.1,1.9,1.7,1.6,6.89,6.91,1,8.015,6.89,1.34,6.22,0.465,1.977,Stable
United Kingdom,2016,162nd,2.4,3.5,5.9,3.8,3.8,1.8,1.7,1.8,1.9,2.6,2.2,1,4.87,7.55,1.1,4.61,4.87,0.56,4.89,0.895,0,Stable
Finland,2016,178th,1.4,1.1,2,3.7,1.2,2,0.6,1,1,1.3,2.5,1,4.48,6.46,2.12,8.848,4.48,4.14,3.18,7.93,0,Stable
Canada,2016,169th,1.9,2.5,3.6,1.9,2.7,1.9,1,1.7,1.5,2.1,2,1,5.63,6.88,1.38,4.598,5.63,2.46,4.59,0.74,0,Sustainable
Switzerland,2016,174th,1.3,1,3.8,2.5,2.4,1.8,1,1.1,2,1.7,2.2,1,4.18,5.57,2.18,7.02,4.18,0.21,2.97,0.84,0,Sustainable
