Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rates,Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Bolivia,2013,67th,6.7,8.0,7.1,6.2,8.9,6.4,7.2,6.8,6.3,6.9,4.0,6.3,0.589,0.589,6.87,5.62,1.727318724,3.08,0.431,2.435,4.899,Warning
Senegal,2013,64th,6.2,6.6,6.3,7.2,6.8,6.8,5.9,7.8,6.2,8.3,7.0,6.3,0.794,0.794,7.78,1.12,6.504403415,0.31,0.769,2.92,4.597,Warning
Bhutan,2013,62nd,5.6,7.5,7.3,6.3,7.5,6.8,6.0,6.9,7.3,6.4,6.9,7.3,0.466,0.466,5.92,0.46,3.519697208,6.85,0.386,2.625,3.732,Warning
Swaziland,2013,49th,6.0,7.0,3.6,8.9,7.5,6.3,8.7,7.8,8.3,9.0,4.9,7.5,0.509,0.509,8,0.84,7.914587875,0.22,0.438,1.36,0.522,Warning
Mozambique,2013,59th,6.5,5.6,4.9,8.0,8.0,7.2,7.0,8.5,6.4,9.2,4.6,6.8,0.641,0.641,7.64,0.88,3.846536846,3.11,0.649,5.635,0,Warning
China,2013,66th,6.5,7.2,8.3,3.6,8.0,5.0,8.1,6.8,9.4,8.1,6.1,3.8,0.831,0.831,8.1,2.12,3.827410803,0.74,0.761,7.54,0,Warning
Bosnia and Herzegovina,2013,83rd,6.4,8.7,7.7,5.2,6.2,5.6,6.7,4.4,6.4,4.4,6.8,8.0,0.661,0.661,6.75,3.54,4.666048411,3.4,0.656,2.865,5.861,Warning
Djibouti,2013,50th,6.6,7.5,6.2,6.9,7.3,5.2,7.8,7.4,7.0,8.3,7.2,8.1,0.924,0.924,7.98,2.94,2.734980458,0.32,0.932,3.085,0.217,Warning
Colombia,2013,57th,6.8,7.7,7.5,3.8,8.1,7.3,7.3,6.1,7.3,6.5,8.3,7.1,0.713,0.713,7.54,3.84,2.877063333,1.15,0.599,3.48,0,Warning
Thailand,2013,90th,7.8,8.8,8.1,3.5,6.4,3.5,6.2,4.6,7.3,7.9,6.4,4.6,0.719,0.719,7.46,0.74,7.055582719,6.61,0.63,0.73,4.509,Warning
Laos,2013,58th,6.6,8.3,6.1,5.7,6.1,6.8,8.6,7.3,8.3,7.5,5.8,6.6,0.541,0.541,6.03,1.68,3.945665465,4.66,0.515,2.57,0,Warning
Turkey,2013,86th,7.9,7.3,9.0,5.3,6.8,3.9,5.9,5.5,5.5,5.7,7.4,5.6,0.617,0.617,8.26,1.62,7.773453623,5.15,0.656,1.85,1.743,Warning
India,2013,79th,7.8,6.8,8.2,5.4,8.1,5.4,5.2,6.7,5.9,7.5,5.2,5.2,0.907,0.907,8.36,1.22,5.312460228,0.54,0.809,7.82,0.679,Warning
Guatemala,2013,70th,7.0,6.0,7.3,6.1,8.1,7.1,6.9,6.9,6.6,7.3,6.0,5.4,0.86,0.86,8.05,1.52,3.130576172,0.39,0.819,1.955,4.992,Warning
Malawi,2013,40th,5.0,7.6,5.7,8.4,8.0,8.1,7.5,8.2,6.8,8.9,6.5,8.4,0.735,0.735,6.02,1.28,2.752392017,1.29,0.616,0.65,0,Warning
Equatorial Guinea,2013,47th,7.5,8.2,6.6,4.5,9.1,6.6,9.6,7.6,9.4,8.3,3.3,5.5,0.681,0.681,7.07,1.58,1.613166756,2.26,0.582,-0.17,2.016,Warning
Mexico,2013,97th,7.9,5.2,6.1,5.2,7.2,5.9,6.1,6.6,6.3,6.5,4.0,6.1,0.683,0.683,7.44,0.96,4.984945905,7.92,0.531,5.685,0.188,Warning
Georgia,2013,55th,7.9,9.4,8.0,6.4,6.3,5.2,8.6,5.4,6.4,5.2,7.5,7.9,0.678,0.678,6.33,1.08,2.078150639,3.97,0.608,1.745,0.435,Warning
Suriname,2013,106th,5.8,5.8,6.1,7.1,7.0,7.6,6.1,5.3,5.4,5.7,3.0,6.3,0.878,0.878,7.59,1.6,6.180724141,9.79,0.864,2.71,0,Warning
Angola,2013,43rd,6.1,7.3,6.8,5.1,9.4,5.9,8.6,8.4,7.3,8.9,7.2,6.1,0.843,0.843,8.11,1.54,0.965486355,0.23,0.695,0.775,0,Warning
Fiji,2013,67th,7.0,7.9,7.3,7.3,7.4,7.0,8.8,4.9,7.3,5.2,3.8,6.9,0.856,0.856,7.62,1.54,2.224001855,0.29,0.875,5.72,0,Warning
Algeria,2013,73rd,7.4,7.3,7.8,5.8,6.2,5.1,7.4,5.9,7.7,5.8,7.0,5.2,0.737,0.737,7.43,2.2,1.626150328,2.24,0.65,-0.105,6.304,Warning
Indonesia,2013,76th,6.8,7.0,7.3,5.5,6.9,6.3,6.4,6.1,6.5,7.5,6.0,5.9,0.824,0.824,7.49,2.54,3.729984167,0.17,0.817,3.855,1.225,Warning
Philippines,2013,59th,8.7,8.0,7.9,5.6,6.5,6.2,7.6,6.4,6.7,7.1,6.5,5.5,0.779,0.779,6.57,2.02,4.055517258,1,0.807,0.92,0,Warning
Vietnam,2013,97th,5.4,6.9,5.7,6.2,5.8,5.7,7.8,5.8,7.5,5.9,4.7,5.6,0.678,0.678,7.46,1.62,7.196564834,1.5,0.627,1.57,5.031,Warning
Lesotho,2013,71st,5.2,7.0,4.7,8.5,6.7,6.8,6.0,8.2,5.4,8.8,4.9,7.2,0.796,0.796,8.13,1.24,4.165432165,0.85,0.604,3.205,0,Warning
Azerbaijan,2013,76th,6.9,7.8,6.9,4.7,6.1,4.7,8.2,5.1,7.6,5.3,7.9,6.9,0.887,0.887,8.1,2.8,4.326981178,0.33,0.809,1.235,1.36,Warning
Guyana,2013,107th,5.8,5.1,5.9,6.6,6.8,8.5,6.2,6.0,4.4,5.8,3.8,5.9,0.406,0.406,5.77,0.82,5.775291018,6.68,0.316,2.53,5.155,Warning
Maldives,2013,88th,5.8,8.0,4.9,6.5,4.4,6.2,8.3,6.7,7.6,5.4,5.3,6.4,0.834,0.834,7.98,2.24,3.746565465,0.16,0.868,6.49,0,Warning
Nicaragua,2013,72nd,5.6,6.8,5.9,6.8,7.9,7.8,7.5,6.8,5.4,6.6,4.8,7.3,0.54,0.54,5.43,0.46,3.373417892,6.36,0.403,0,2.163,Warning
Sao Tome and Principe,2013,91st,5.8,6.3,4.8,7.9,6.3,7.9,6.6,6.4,4.3,6.6,4.3,7.3,0.827,0.827,7.69,1.74,4.009461538,2.39,0.729,5.53,0,Warning
Russia,2013,80th,8.5,8.0,8.2,3.5,7.0,5.1,8.1,5.1,8.6,5.7,5.3,4.0,0.731,0.731,7.26,0.68,3.436253239,4.8,0.672,2.33,0,Warning
Turkmenistan,2013,81st,7.1,7.7,6.7,5.4,6.5,4.9,9.3,6.1,8.7,5.9,3.9,4.6,0.513,0.513,7.04,2.06,7.258439077,0.24,0.43,1.35,1.408,Warning
Ecuador,2013,74th,6.7,8.2,7.2,5.6,7.4,6.8,7.2,6.9,4.9,5.8,5.7,6.2,0.721,0.721,7.76,2.54,2.574222054,1.87,0.614,1.395,0.059,Warning
Jamaica,2013,118th,6.3,3.7,4.0,6.6,5.9,7.2,6.1,5.7,5.0,5.6,3.4,6.3,0.902,0.902,8.05,0.84,5.838507005,0.34,0.878,8.87,4.256,Warning
Benin,2013,78th,5.8,6.1,3.6,7.1,7.2,6.2,6.0,8.6,5.1,8.3,6.5,7.3,0.706,0.706,6.98,0.42,3.540409094,1.55,0.708,0.92,3.266,Warning
Paraguay,2013,104th,6.1,7.9,6.5,5.1,8.6,4.9,7.9,6.1,6.1,6.1,2.4,4.2,0.796,0.796,8.13,0.72,3.905804129,7.62,0.648,1.95,0,Warning
